energy-kcal_100g,energy_100g,fat_100g,saturated-fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,sodium_100g,fruits-vegetables-nuts-estimate-from-ingredients_100g
73.0,305.0,3.7,0.5,6.6,1.9,2.8,1.166,0.4664,0.0
607.0,2540.0,57.14,5.36,17.86,3.57,17.86,1.22428,0.489712,80.0
371.0,1552.0,1.43,0.0,77.14,0.0,8.57,0.0,0.0,0.0
462.0,1933.0,18.27,1.92,63.46,11.54,13.46,0.0,0.0,36.4583333333333
356.0,1490.0,0.0,0.0,80.0,0.0,8.89,0.0,0.0,0.0
438.0,1833.0,18.75,4.69,57.81,15.62,14.06,0.1397,0.05588,0.0
575.0,2406.0,37.5,22.5,55.0,42.5,5.0,0.0,0.0,0.0
857.0,3586.0,100.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0
333.0,1393.0,1.04,0.0,62.5,0.0,22.92,0.0,0.0,100.0
368.0,1540.0,1.75,0.0,73.68,0.0,14.04,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
533.0,2230.0,36.67,5.0,36.67,3.33,16.67,1.60782,0.643128,63.125
619.0,2590.0,42.86,4.76,38.1,0.0,19.05,0.09652,0.038608,0.0
606.0,2536.0,48.48,9.09,15.15,0.0,30.3,0.57658,0.230632,81.25
484.0,2025.0,20.1,4.5,68.6,29.8,7.4,0.08,0.032,0.0
548.0,2293.0,34.1,7.7,53.4,24.1,7.0,0.1,0.04,0.0
11.0,46.0,0.0,0.0,2.7,2.5,0.0,0.0,0.0,0.0
12.0,50.0,0.0,0.0,2.9,2.8,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436.0,1824.0,18.18,1.82,60.0,21.82,14.55,0.02286,0.009144,18.28125
629.0,2632.0,60.71,3.57,17.86,3.57,14.29,0.01016,0.004064,100.0
500.0,2092.0,26.67,23.33,66.67,16.67,3.33,0.0,0.0,66.6666666666667
411.0,1720.0,16.0,2.2,59.2,21.6,6.2,0.5,0.2,0.0
378.0,1582.0,2.22,0.0,77.78,2.22,8.89,0.0,0.0,0.0
262.0,1096.0,5.95,1.19,66.67,2.38,16.67,0.0254,0.01016,0.0
350.0,1464.0,17.5,7.5,42.5,32.5,7.5,0.28448,0.113792,3.89404296875002
500.0,2092.0,33.33,6.67,46.67,30.0,13.33,0.46482,0.185928,43.75
400.0,1674.0,10.91,2.73,69.09,27.27,10.91,0.02286,0.009144,10.25390625
567.0,2372.0,50.0,3.33,23.33,6.67,6.67,1.27,0.508,84.6033333333333
467.0,1954.0,20.0,2.22,60.0,33.33,8.89,0.19812,0.079248,56.25
0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.15678,38.462712,0.0
370.0,1548.0,22.22,4.63,57.41,5.56,12.96,0.28194,0.112776,39.375
